id,function_name,expected_cc,radon_cc,cfg_cc,num_nodes,num_edges,source_node,sink_node,edges
1,synthetic_cc10_v9_1,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (2, 8), (3, 4), (4, 2), (4, 5), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 5), (7, 8), (8, 1), (8, 5), (8, 6)]"
2,synthetic_cc10_v9_2,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (2, 6), (3, 4), (4, 2), (4, 5), (5, 4), (5, 6), (5, 8), (6, 7), (6, 8), (7, 2), (7, 8), (8, 1), (8, 6), (8, 7)]"
3,synthetic_cc10_v9_3,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 4), (4, 1), (4, 2), (4, 5), (5, 1), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 5), (7, 8), (8, 1), (8, 5)]"
4,synthetic_cc10_v9_4,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (2, 5), (3, 1), (3, 4), (4, 2), (4, 5), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 8), (8, 1), (8, 5), (8, 6)]"
5,synthetic_cc10_v9_5,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (2, 7), (3, 4), (3, 5), (4, 2), (4, 3), (4, 5), (5, 3), (5, 6), (5, 7), (6, 7), (6, 8), (7, 8), (8, 1), (8, 7)]"
6,synthetic_cc10_v9_6,10,10,10,9,17,0,1,"[(0, 2), (2, 1), (2, 3), (2, 4), (3, 4), (4, 2), (4, 5), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 2), (7, 3), (7, 6), (7, 8), (8, 1)]"
7,synthetic_cc10_v9_7,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 4), (3, 7), (4, 2), (4, 5), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 5), (7, 8), (8, 1), (8, 5), (8, 6)]"
8,synthetic_cc10_v9_8,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 4), (3, 6), (4, 2), (4, 5), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 1), (7, 5), (7, 8), (8, 1), (8, 5)]"
9,synthetic_cc10_v9_9,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 2), (3, 4), (4, 2), (4, 5), (4, 8), (5, 3), (5, 6), (5, 7), (5, 8), (6, 7), (7, 8), (8, 1), (8, 4), (8, 5)]"
10,synthetic_cc10_v9_10,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 4), (3, 6), (4, 1), (4, 2), (4, 5), (5, 3), (5, 6), (5, 8), (6, 7), (6, 8), (7, 2), (7, 6), (7, 8), (8, 1)]"
11,synthetic_cc10_v9_11,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 4), (4, 2), (4, 5), (5, 6), (5, 7), (5, 8), (6, 2), (6, 3), (6, 7), (6, 8), (7, 8), (8, 1), (8, 2), (8, 5)]"
12,synthetic_cc10_v9_12,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (2, 7), (3, 4), (4, 2), (4, 5), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 5), (7, 8), (8, 1), (8, 5), (8, 6)]"
13,synthetic_cc10_v9_13,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (2, 6), (3, 4), (4, 2), (4, 5), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 5), (7, 8), (8, 1), (8, 5), (8, 6)]"
14,synthetic_cc10_v9_14,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 4), (4, 2), (4, 5), (4, 6), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 5), (7, 8), (8, 1), (8, 5), (8, 6)]"
15,synthetic_cc10_v9_15,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 4), (4, 1), (4, 2), (4, 5), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 3), (7, 5), (7, 8), (8, 1), (8, 5)]"
16,synthetic_cc10_v9_16,10,10,10,9,17,0,1,"[(0, 2), (2, 1), (2, 3), (2, 4), (2, 8), (3, 4), (4, 2), (4, 5), (5, 6), (5, 7), (6, 7), (6, 8), (7, 8), (8, 1), (8, 2), (8, 3), (8, 5)]"
17,synthetic_cc10_v9_17,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (2, 6), (3, 4), (4, 1), (4, 2), (4, 5), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 8), (8, 1), (8, 5), (8, 6)]"
18,synthetic_cc10_v9_18,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 4), (4, 2), (4, 5), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 4), (7, 5), (7, 8), (8, 1), (8, 5), (8, 6)]"
19,synthetic_cc10_v9_19,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 4), (4, 2), (4, 5), (4, 7), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 4), (7, 8), (8, 1), (8, 5), (8, 6)]"
20,synthetic_cc10_v9_20,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 4), (4, 2), (4, 5), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 1), (7, 4), (7, 8), (8, 1), (8, 5), (8, 6)]"
21,synthetic_cc10_v9_21,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (2, 7), (3, 4), (4, 2), (4, 5), (4, 6), (5, 6), (5, 7), (5, 8), (6, 4), (6, 7), (6, 8), (7, 8), (8, 1), (8, 5)]"
22,synthetic_cc10_v9_22,10,10,10,9,17,0,1,"[(0, 2), (2, 1), (2, 3), (2, 4), (3, 4), (3, 7), (3, 8), (4, 2), (4, 5), (4, 8), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 8), (8, 1)]"
23,synthetic_cc10_v9_23,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 4), (4, 2), (4, 5), (5, 1), (5, 3), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 8), (8, 1), (8, 5), (8, 6)]"
24,synthetic_cc10_v9_24,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 4), (4, 2), (4, 5), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 5), (7, 8), (8, 1), (8, 4), (8, 5), (8, 6)]"
25,synthetic_cc10_v9_25,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 4), (4, 2), (4, 5), (4, 8), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 5), (7, 8), (8, 1), (8, 4), (8, 6)]"
26,synthetic_cc10_v9_26,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 4), (4, 2), (4, 5), (5, 6), (5, 7), (5, 8), (6, 7), (6, 8), (7, 5), (7, 8), (8, 1), (8, 2), (8, 5), (8, 6)]"
27,synthetic_cc10_v9_27,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (2, 8), (3, 4), (4, 2), (4, 3), (4, 5), (4, 7), (5, 6), (6, 3), (6, 7), (7, 5), (7, 8), (8, 1), (8, 3), (8, 5)]"
28,synthetic_cc10_v9_28,10,10,10,9,17,0,1,"[(0, 2), (2, 3), (2, 4), (3, 4), (3, 5), (4, 2), (4, 5), (5, 6), (5, 7), (5, 8), (6, 5), (6, 7), (6, 8), (7, 5), (7, 8), (8, 1), (8, 5)]"
